Dataset,Train_Size,Model,Mean_SER,Std_SER
4CSK,8,KAN,0.19947265625,0.039299724012963715
4CSK,16,KAN,0.170810546875,0.02511155796591167
4CSK,32,KAN,0.156083984375,0.01587630847734825
4CSK,48,KAN,0.14982421875,0.012790493558259087
4CSK,64,KAN,0.146533203125,0.012413008302420763
4CSK,80,KAN,0.146123046875,0.00960478386099122
4CSK,96,KAN,0.142900390625,0.009914928016728327
4CSK,112,KAN,0.14109375,0.0098293623152975
4CSK,128,KAN,0.142529296875,0.01059862790854086
4CSK,144,KAN,0.140380859375,0.010127452223718518
4CSK,160,KAN,0.14025390625,0.009205395352121885
4CSK,176,KAN,0.138515625,0.009771209340835037
4CSK,192,KAN,0.138046875,0.009183343686780499
4CSK,208,KAN,0.141689453125,0.010522518715401118
4CSK,224,KAN,0.138662109375,0.009337791354575865
4CSK,240,KAN,0.138564453125,0.01049692944634352
4CSK,256,KAN,0.13818359375,0.008661729531201012
4CSK,272,KAN,0.137080078125,0.009354281101220677
4CSK,288,KAN,0.138359375,0.00962484463653018
4CSK,304,KAN,0.1375,0.007743838906874612
4CSK,320,KAN,0.138271484375,0.009531465121483711
4CSK,336,KAN,0.136982421875,0.009502163891547344
4CSK,352,KAN,0.134765625,0.009213907295305525
4CSK,368,KAN,0.137275390625,0.010594920045947932
4CSK,384,KAN,0.13814453125,0.010258481122296976
4CSK,400,KAN,0.1370703125,0.009505841517152426
4CSK,416,KAN,0.13755859375,0.010127117924466699
4CSK,432,KAN,0.136796875,0.00980818849347001
4CSK,448,KAN,0.135703125,0.01030717191904501
4CSK,464,KAN,0.137958984375,0.008941660306228505
4CSK,480,KAN,0.138720703125,0.008361308507043091
4CSK,496,KAN,0.1363671875,0.008751569334714345
4CSK,512,KAN,0.13716796875,0.009784571464561808
4CSK,528,KAN,0.137763671875,0.009930497875505534
4CSK,544,KAN,0.137177734375,0.009124935411198533
4CSK,560,KAN,0.137392578125,0.00975164526727163
4CSK,576,KAN,0.13626953125,0.010456444639411158
4CSK,592,KAN,0.13712890625,0.00981256297874893
4CSK,608,KAN,0.13619140625,0.009556770553033085
4CSK,624,KAN,0.137763671875,0.009255478963220815
4CSK,640,KAN,0.135546875,0.010554106317270544
4CSK,656,KAN,0.136728515625,0.009725008307995225
4CSK,672,KAN,0.138095703125,0.009512435604083014
4CSK,688,KAN,0.13576171875,0.011282555840064773
4CSK,704,KAN,0.137041015625,0.00845734135365345
4CSK,720,KAN,0.137216796875,0.009879699940623097
4CSK,736,KAN,0.135634765625,0.009412456707899175
4CSK,752,KAN,0.13685546875,0.00931890362229805
4CSK,768,KAN,0.135556640625,0.010040748543666387
4CSK,784,KAN,0.136005859375,0.00955421058543764
4CSK,800,KAN,0.138173828125,0.010038658757384713
4CSK,816,KAN,0.137216796875,0.010070907018852524
4CSK,832,KAN,0.137099609375,0.009902261887913598
4CSK,848,KAN,0.136474609375,0.00947253040348106
4CSK,864,KAN,0.13650390625,0.00988943006580092
4CSK,880,KAN,0.138154296875,0.009098769647614
4CSK,896,KAN,0.1365625,0.00891588192157417
4CSK,912,KAN,0.13435546875,0.00949244871682758
4CSK,928,KAN,0.13658203125,0.008549267868016627
4CSK,944,KAN,0.135625,0.009382402676312115
4CSK,960,KAN,0.136650390625,0.008588482716398343
4CSK,976,KAN,0.135595703125,0.009505696044672435
4CSK,992,KAN,0.137158203125,0.009628307022112483
4CSK,1008,KAN,0.137314453125,0.00922207529903356
4CSK,1024,KAN,0.13498046875,0.009570890448110174
8CSK,8,KAN,0.212421875,0.04568235372007719
8CSK,16,KAN,0.161962890625,0.039176925911756574
8CSK,32,KAN,0.13568359375,0.0216091105568373
8CSK,48,KAN,0.12451171875,0.012800421254855553
8CSK,64,KAN,0.118798828125,0.01218503878268338
8CSK,80,KAN,0.11572265625,0.010502928552490059
8CSK,96,KAN,0.113837890625,0.0105967201412836
8CSK,112,KAN,0.11068359375,0.009356895767993034
8CSK,128,KAN,0.110703125,0.008624235699831609
8CSK,144,KAN,0.109072265625,0.009273431535315584
8CSK,160,KAN,0.108740234375,0.009252510967191449
8CSK,176,KAN,0.107705078125,0.00941792642274551
8CSK,192,KAN,0.1071484375,0.007853991384262049
8CSK,208,KAN,0.106064453125,0.009223109362214732
8CSK,224,KAN,0.106318359375,0.008576704286309219
8CSK,240,KAN,0.106220703125,0.008037358554764234
8CSK,256,KAN,0.1055078125,0.009982857315696087
8CSK,272,KAN,0.104462890625,0.00845440900996419
8CSK,288,KAN,0.104326171875,0.008569362368638013
8CSK,304,KAN,0.105966796875,0.00964228260003894
8CSK,320,KAN,0.104912109375,0.00828209638768779
8CSK,336,KAN,0.105712890625,0.008615224190937078
8CSK,352,KAN,0.103984375,0.008299609292267732
8CSK,368,KAN,0.103955078125,0.009201867113141762
8CSK,384,KAN,0.10185546875,0.007604030102762018
8CSK,400,KAN,0.10380859375,0.00841601993102988
8CSK,416,KAN,0.1023828125,0.008312514685137405
8CSK,432,KAN,0.102119140625,0.007031595857379295
8CSK,448,KAN,0.102763671875,0.008038545019104509
8CSK,464,KAN,0.103291015625,0.007556669399337824
8CSK,480,KAN,0.10341796875,0.009510836393878973
8CSK,496,KAN,0.1034375,0.00852654832667871
8CSK,512,KAN,0.102978515625,0.008413611609828738
8CSK,528,KAN,0.10166015625,0.008862002028664554
8CSK,544,KAN,0.10189453125,0.008337144615914952
8CSK,560,KAN,0.10275390625,0.00796671523501011
8CSK,576,KAN,0.103134765625,0.00883440452654411
8CSK,592,KAN,0.10185546875,0.00791256714802916
8CSK,608,KAN,0.10376953125,0.010205540696753208
8CSK,624,KAN,0.104453125,0.00865007288907603
8CSK,640,KAN,0.101201171875,0.008112707375813339
8CSK,656,KAN,0.100595703125,0.008009592742282018
8CSK,672,KAN,0.10201171875,0.008660540347255783
8CSK,688,KAN,0.10107421875,0.00892099331375725
8CSK,704,KAN,0.104287109375,0.008353229295712411
8CSK,720,KAN,0.1015625,0.008632503176019362
8CSK,736,KAN,0.101484375,0.008821208573836411
8CSK,752,KAN,0.1033984375,0.009060774013980366
8CSK,768,KAN,0.1013671875,0.007605911124461232
8CSK,784,KAN,0.1024609375,0.008545541272193683
8CSK,800,KAN,0.10162109375,0.008515513008151194
8CSK,816,KAN,0.10138671875,0.00818378020372319
8CSK,832,KAN,0.10244140625,0.007945042668414668
8CSK,848,KAN,0.101630859375,0.007673637731476223
8CSK,864,KAN,0.100712890625,0.008800616320788698
8CSK,880,KAN,0.10087890625,0.00843978285812987
8CSK,896,KAN,0.10173828125,0.008099442413353313
8CSK,912,KAN,0.101728515625,0.009378107191791552
8CSK,928,KAN,0.101181640625,0.00890643738666631
8CSK,944,KAN,0.1012890625,0.007937332752298038
8CSK,960,KAN,0.102197265625,0.009293648296074208
8CSK,976,KAN,0.101103515625,0.008118347966178288
8CSK,992,KAN,0.103857421875,0.007806852206602378
8CSK,1008,KAN,0.1003515625,0.007985296088015851
8CSK,1024,KAN,0.10060546875,0.008873272794903436
